symbol	globalScore	otGeneticsPortal	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
IL4R	0.7217123316018804	0.8784322001801678	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9534419028947516	No data	No data	No data	No data	No data	No data	0.6350413810223001	No data	No data	1	1	1	0	0	0	0	No data	-0.09783288185038552	-0.8084523459059023	0	No data	No data	0	-1	-1
FLG	0.7075173214015508	0.7443011125147513	0.9713700291593017	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.28651330947600495	No data	No data	No data	0	0	0	0	0	0	No data	0.9898937278599709	-0.6836226285580268	0	No data	No data	0	1	0.5
ADORA1	0.7013904600042015	0.6442283894510021	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9905034621838338	No data	No data	No data	No data	No data	No data	0.09780697832200885	No data	No data	1	1	0	1	1	0	0.7392650000000003	1	0.23379870806418013	-0.31241169803217117	0	-1	No data	0	0.5	0
IL33	0.6862990013370754	0.8596525266945702	0.8833982354232567	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.16253705352810702	No data	No data	No data	No data	No data	No data	0.9197915150330276	No data	No data	0.75	0	1	0	0	0	0	No data	0.7926651385705354	-0.8848157382817753	0	No data	No data	No data	0.5	0
TSLP	0.6756755745464981	0.7874171965748702	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8940868618589651	No data	No data	No data	No data	No data	No data	0.922223384286721	No data	No data	1	0	1	0	0	0	0	No data	0.6713898728901855	-0.6546822634396826	0	No data	No data	No data	0.5	0
PDE4D	0.6649275085892066	0.3893027896486526	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9911369683094475	No data	No data	No data	No data	No data	No data	0.23816681547582827	No data	No data	1	1	0	1	1	1	0.8640300000000003	1	-0.8817461971244009	-0.7179667329277475	0	-1	No data	-0.06983999999999994	0.5	0
ADRB2	0.629477303537949	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9991888265524362	No data	No data	No data	No data	No data	No data	0.7250707920669203	No data	No data	1	0	0	1	1	1	0.4067799999999998	1	-0.3875807459887477	-0.9089583874335985	0	-1	No data	0	-1	0
IGHE	0.6292518213159737	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9860105032030617	No data	No data	No data	No data	No data	No data	0.9812192363827148	No data	No data	1	1	1	0	0	0	0	No data	No data	0	No data	No data	No data	0	No data	No data
NR3C1	0.6280845686404276	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9988830346023022	No data	No data	No data	No data	No data	No data	0.6853677680347624	No data	No data	1	0	0	1	1	1	0.5109400000000001	1	-0.7278599708272557	-0.9536043719349752	0	-1	No data	0	-1	-1
IL5	0.6255997748748149	0.14696491789272323	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9749436557991759	No data	No data	No data	No data	No data	No data	0.7558206963423166	No data	No data	1	0	1	0	0	0	0	No data	0.5818920608460096	-0.6249112745509185	0	No data	No data	No data	1	1
CYSLTR1	0.6216265938187773	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9974863876702282	No data	No data	No data	No data	No data	No data	0.5008431425251355	No data	No data	1	1	0	1	1	0	0.3768549999999998	1	0.7526568035007293	No data	0	No data	No data	0	0.5	0
PDE4A	0.6203896018117263	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9911369683094475	No data	No data	No data	No data	No data	No data	0.5871363712815678	No data	No data	1	1	0	1	1	1	0.040630000000000166	0	-0.7453636174202959	No data	0	-1	No data	0	-1	-1
CHRM3	0.6094971322033604	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9956998158371795	No data	No data	No data	No data	No data	No data	0.1375337125917592	No data	No data	1	1	0	1	1	0	0.5762700000000003	0	-0.8253802875599083	-0.8246927807968057	0	-1	No data	0	0.5	0
ADORA2A	0.608479854304685	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.990400077821077	No data	No data	No data	No data	No data	No data	0.21006157494871208	No data	No data	1	1	0	1	1	1	0.05339999999999989	1	-0.43217336945196916	-0.9334400628290531	0	-1	No data	0	0.75	0
PDE4B	0.6076172849637241	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9911369683094475	No data	No data	No data	No data	No data	No data	0.16694654381499688	No data	No data	1	0	0	1	1	1	0.8573349999999997	1	-0.6331527401541988	-0.7028487395236738	0	-1	No data	-0.22214750000000016	0.5	-1
PDE3B	0.6054260979139112	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9904271631762837	No data	No data	No data	No data	No data	No data	0.10444981914209299	0.010363727407316345	No data	1	0	0	1	1	1	0.006295000000000073	No data	-0.4908314232131694	-0.3121215388065321	0	-1	No data	0	0.5	0
ADORA3	0.6053583941680957	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.990400077821077	No data	No data	No data	No data	No data	No data	0.10737027689792368	No data	No data	1	1	0	1	1	0	0	0	No data	-0.8270992553125023	0	-1	No data	0	0.5	0
ADORA2B	0.604702514511748	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.990400077821077	No data	No data	No data	No data	No data	No data	0.08579283226361761	No data	No data	1	0	0	1	1	0	0.38252999999999987	1	0.6028339237341114	-0.9181055249095493	0	-1	No data	0	0.5	0
PDE3A	0.6029427299590139	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9904271631762837	No data	No data	No data	No data	No data	No data	0.02735688589252295	No data	No data	1	1	0	1	1	0	0.1893099999999997	No data	-0.47895394873932073	0	0	-1	No data	0	0.5	0
PDE4C	0.6025426876867265	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9911369683094475	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0	No data	-0.12773494478016256	0	0	No data	No data	-0.2132349999999999	0.5	0
ADRA2A	0.601597430654241	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9829455143933804	No data	No data	No data	No data	No data	No data	0.13273155747853727	No data	No data	1	1	0	1	1	0	0.6021500000000003	0	0.3796624296728486	-0.7860525957530664	0	-1	No data	0	0.5	0
IL5RA	0.6013239488752933	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9667341095537251	No data	No data	No data	No data	No data	No data	0.44796251907066204	No data	No data	1	0	0	0	0	0	0	No data	0.17972494269639516	0	0	No data	No data	0	0.5	0
ADRA1B	0.6006683479639918	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9829455143933804	No data	No data	No data	No data	No data	No data	0.102166147931953	No data	No data	1	1	0	1	1	0	0.7692300000000003	0	-0.1549281100229214	-0.9323474287510244	0	-1	No data	0	0.5	0
ADRA1D	0.6003240306753247	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9829455143933804	No data	No data	No data	No data	No data	No data	0.09083863203639622	No data	No data	1	1	0	1	1	0	0.2307699999999997	1	0.46488851844134205	-0.8229130970392914	0	No data	No data	0	0.5	0
ADRB1	0.599555846208038	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9836561827750436	No data	No data	No data	No data	No data	No data	0.05135316204199023	No data	No data	1	1	0	1	1	0	0.5178199999999997	0	0.644613461137737	-0.5294145467853534	0	-1	No data	0	0.5	0
VDR	0.5988397938245832	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.945716899521925	No data	No data	No data	No data	No data	No data	0.7865817911302679	No data	No data	1	0	0	1	1	1	0.4028100000000002	0	-0.038653886226297174	-0.9585967063703432	0	-1	No data	0	1	0
ADRB3	0.5986253926561514	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9829455143933804	No data	No data	No data	No data	No data	No data	0.03495602086266821	No data	No data	1	1	0	1	1	0	0	1	0.7413002708897687	-0.10006653173107727	0	-1	No data	0	0.5	0.5
ADRA1A	0.5981163570864163	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9838559905769492	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.5922750000000001	0	0.5335486559699938	-0.5954762182301893	0	-1	No data	0	0.5	0
ADRA2B	0.5979324304286175	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9829455143933804	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	0	0	1	1	0	0.15555499999999967	0	No data	-0.8410782060696528	0	-1	No data	0	-1	0
ADRA2C	0.5975628505739329	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9829455143933804	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.5995649999999998	0	-0.3704938528860179	-0.05377051238253633	0	-1	No data	0	0.5	0
ALOX5	0.5659788282947713	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9131513652036191	No data	No data	No data	No data	No data	No data	0.3568166162663613	No data	No data	1	0	0	1	1	0	0.6513350000000002	0	-0.33892477599499893	-0.2749532244040448	0	No data	No data	0	0.5	0
IL13	0.5580783542877972	0.7316194823001874	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6608941403961972	No data	No data	No data	No data	No data	No data	0.9519074452676207	No data	No data	1	0	1	0	0	1	0	No data	0.703063138153782	-0.8039983479926279	0	-1	No data	No data	1	1
HRH1	0.5547601346739596	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9070437427362649	No data	No data	No data	No data	No data	No data	0.10989108289282658	No data	No data	1	1	0	1	1	0	0	0	0.2993331944155033	-0.8126625175112107	0	-1	No data	0	-1	0
CHRM1	0.5450415681174737	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8891269625118944	No data	No data	No data	No data	No data	No data	0.1485006068899187	No data	No data	1	1	0	1	1	0	0.9456499999999999	1	-0.874036257553657	-0.20744991348439518	0	-1	No data	0	0.75	0.5
SCN10A	0.5422532091522855	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8897742701710087	No data	No data	No data	No data	No data	No data	0.04382167832783768	No data	No data	1	1	0	1	1	0	0.11043000000000021	0	0.13033965409460313	-0.7917212535510667	0	-1	No data	-0.04140999999999995	No data	No data
SCN7A	0.5418451313960712	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8897742701710087	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	1	1	0	1	1	0	0	No data	-0.15565742863096477	No data	0	No data	No data	0	0.5	0
SCN9A	0.5416552084151914	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8897742701710087	No data	No data	No data	No data	No data	No data	0.024148362238461615	No data	No data	1	1	0	1	1	0	0.660465	1	-0.24901021046051264	-0.8488954393501088	0	No data	No data	-0.4693149999999999	0.5	0
SCN1A	0.5409211817593593	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8897742701710087	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.9079149999999998	No data	-0.9937486976453428	-0.9660827336174976	0	-1	No data	-0.6864100000000001	0.5	0.5
SCN5A	0.5409211817593593	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8897742701710087	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.7146399999999999	No data	-0.7443217336945197	-0.9769187502023968	0	-1	No data	-0.09056999999999996	1	0.5
SCN11A	0.5409211817593593	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8897742701710087	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	1	0	0	No data	-0.10335486559699936	-0.2834589605852611	0	No data	No data	0	0.5	0.5
SCN2A	0.5409211817593593	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8897742701710087	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.9027450000000001	1	-0.9605126067930819	-0.7880557324349885	0	No data	No data	-0.6907724999999999	1	0.5
SCN8A	0.5409211817593593	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8897742701710087	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.9318199999999998	No data	-0.9578037091060637	-0.9489068977715015	0	No data	No data	-0.4267675000000001	0.75	0.5
SCN4A	0.5409211817593593	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8897742701710087	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.626905	No data	-0.6547197332777662	-0.8611597120123354	0	No data	No data	-0.2715150000000001	0.75	0.5
SCN3A	0.5409211817593593	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8897742701710087	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.7399999999999999	No data	-0.9175869972911023	-0.45806794162493086	0	No data	No data	-0.6875	0.5	0.5
OTULINL	0.5347599226186479	0.8745649332646587	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10149066926794008	No data	No data	No data	0	0	0	0	0	0.18539499999999975	No data	0.3903938320483433	No data	0	No data	No data	0	0.5	0
SMAD3	0.5299887551499103	0.8555470972934245	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.32488322476205495	No data	No data	No data	0	0	0	1	0	1	No data	-0.6261721191914982	-0.8758300600357	0	No data	-1	-0.8058824999999998	-1	-1
BACH2	0.5295662494352364	0.8650630673252405	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12066402775635517	No data	No data	No data	0	0	0	0	0	0.5005949999999999	No data	-0.8465305271931652	-0.35070763007764794	0	No data	No data	0	0.75	0
IL1RL1	0.5280788856511471	0.8119662452276196	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.8634769944099767	No data	No data	0.5	1	1	0	0	0	0	No data	0.31787872473431955	0	0	No data	No data	0	0.75	0
IL18R1	0.5277990283378465	0.8334575432308169	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.694635619352283	No data	No data	0.5	0	0	0	0	0	0	No data	-0.09762450510523024	-0.6018116673414866	0	No data	No data	0	0.5	0
CARD11	0.5255175894116693	0.7215071214260937	No data	0.5592963338026914	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1397396486176712	No data	No data	No data	0	0	0	0	0	0.6013849999999998	No data	-0.8544488435090644	-0.31519331640449844	0	No data	-1	0	0.5	0
PRR5L	0.5212161794193133	0.8559931932889547	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.02735688589252295	No data	No data	No data	0	0	0	0	0	0.5788049999999998	No data	-0.3369451969160242	No data	0	No data	No data	0	0.5	0
TNFRSF11A	0.5176626626645974	0.8418954363490845	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.19240672005075798	No data	No data	No data	1	0	0	0	0	0	No data	-0.3791414878099604	-0.760867333973634	0	-1	No data	0	0.5	0
JAZF1	0.5141434560365009	0.8253697064359896	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4071447647337829	No data	No data	No data	0	0	0	0	0	0.9794249999999998	No data	-0.6228380912690143	-0.37488308494159406	0	No data	No data	No data	0.5	-1
IL2RA	0.5133031664149225	0.811285393432971	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.11982594318423036	No data	No data	1	0	0	0	1	0	0	No data	-0.3085017712023338	-0.8958009979365766	0	No data	No data	No data	0.5	0
NOD2	0.5067726208262613	0.8095263955974228	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4815216968958359	No data	No data	1	0	0	1	1	0	0	No data	0.510418837257762	-0.81598734335551	0	No data	No data	0	0.5	0
GATA3	0.4966982109417685	0.788512731903509	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5703621851981185	No data	No data	No data	0	0	0	0	0	0.81982	No data	-0.6419045634507189	-0.9072617023800108	0	-1	-1	-0.17229750000000016	0.5	0
CD247	0.4950512658696286	0.8058107104108299	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17022062333125393	No data	No data	No data	1	0	0	0	0	0	No data	-0.10929360283392375	-0.7175278166800542	0	No data	No data	No data	0.75	0
TNFSF4	0.49394166003447765	0.755759196935687	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1587374860430344	No data	No data	No data	No data	No data	No data	0.7673830104571384	No data	No data	0.5	0	0	0	0	0	0	No data	0.7350489685351116	-0.8276856512144117	0	No data	No data	No data	-1	0
PTPRC	0.49185287830010416	0.795643698228348	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2683387732133101	No data	No data	0.5	0	0	1	1	0	0	No data	-0.8799749947905814	-0.8898810246155964	0	-1	No data	0	0.5	-1
TESPA1	0.4915743997991021	0.7883403118510393	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.40524498099124656	No data	No data	No data	0	0	0	0	0	0	No data	-0.14742654719733272	0	0	No data	No data	0	0.75	0
ADAMTSL3	0.4827173178789077	0.7934254028899729	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	0	1	0	0	0	0.26375000000000026	No data	-0.32162950614711394	-0.7767834734402609	0	No data	No data	0	-1	0
TNFAIP8	0.48172007261598604	0.7908731139599753	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0.6717149999999996	No data	0.07324442592206704	-0.18269665938557195	0	No data	No data	-0.0025249999999999773	0.5	-1
RORA	0.4736555050019465	0.7535906525695991	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5107337405388697	No data	No data	No data	0	0	1	1	0	0.8661549999999998	1	-0.6238799749947905	-0.9561511045071835	0	-1	No data	0	0.5	-1
SERPINB7	0.47093071787641	0.7746452716765732	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.4605126067930818	No data	0	No data	No data	0	0.75	0.5
ATP4A	0.4701877040155372	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7734230702947845	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	1	0	0.8502400000000001	No data	-0.2001458637216087	-0.29239804983791945	0	No data	No data	-0.10145000000000018	1	0.5
PRKCQ	0.4685066737115722	0.7688087802478718	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03698245685470695	No data	No data	1	0	0	1	1	0	0.7379600000000004	No data	-0.6379454052927693	-0.8218496443611364	0	-1	No data	-0.04745000000000008	0.75	0
IL6	0.4683568956811824	0.7075579104443481	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15198269940290526	No data	No data	No data	No data	No data	No data	0.9193330511811092	No data	No data	1	0	1	0	1	0	0	No data	-0.1933736195040634	-0.9768981946067004	0	-1	No data	No data	0.5	0
ITGB8	0.46748486225598007	0.7689771008354713	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5	1	0	1	0	0	0.36281000000000035	No data	-0.8057928735153157	-0.9502741286034705	0	No data	No data	0	-1	0
ZBTB10	0.4646096790580357	0.7620475243529081	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.04400236887046114	No data	No data	No data	0	0	0	0	0	0.35131999999999974	No data	-0.7718274640550115	No data	0	No data	No data	0	-1	-1
TBL1XR1	0.46200193900863074	0.7599581084289506	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.9513599999999997	No data	-0.9752031673265263	-0.8037454517457828	0	No data	-1	-0.7033075	-1	-1
ALDH5A1	0.4619748183558772	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	1	1	0.1588799999999999	No data	0.03396540946030413	-0.6916102638674967	0	No data	No data	0	0.5	-1
SLC6A2	0.4619748183558772	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7599134970145264	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.7082650000000001	0	-0.527714107105647	-0.8541480885180219	0	-1	No data	-0.1693674999999999	0.5	0.5
AHI1	0.45895966109214886	0.7534339652719074	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	No data	0	0	0	0	0	0	No data	0.05136486768076676	-0.7847278153291098	0	No data	No data	0	-1	-1
RUNX3	0.45502941219172155	0.7351839809839522	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.26609700553542154	No data	No data	No data	0	0	0	0	0	0.46987999999999985	No data	-0.5942904771827464	-0.9005045481836982	0	No data	No data	-0.13855499999999984	0.5	0
BCL2L11	0.45441819315051507	0.7442917856622352	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06383273374922022	No data	No data	No data	0	0	0	1	0	0.368685	0	-0.6017920400083351	-0.8715136556232866	0	-1	No data	0	-1	-1
ZNF217	0.45412140474189266	0.7463872971559653	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	No data	0	0	0	0	0	0	No data	-0.9432173369451969	-0.2500613779891478	0	No data	No data	0	-1	0
ZDHHC12	0.4519343525574815	0.7433976931798765	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.3445700000000002	No data	0.17107730777245256	No data	0	No data	No data	0	-1	0
PTGS1	0.4518709389865079	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7340595511494321	No data	No data	No data	No data	No data	No data	0.18467663042763852	No data	No data	1	0	0	0	0	0	0.48247	1	-0.15784538445509477	-0.9397369417042986	0	-1	No data	-0.035892499999999924	0.5	0
RAD51B	0.4515343174802902	0.7418277696573837	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	No data	0	0	0	0	0	0.22856999999999986	No data	0.7078558032923525	No data	0	No data	No data	0	-1	-1
PLXNC1	0.449249443145529	0.7389812210707143	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	1	0.52806	No data	-0.7946447176495103	-0.29395979651980153	0	No data	No data	0	-1	0
TNFRSF8	0.44876887738443433	0.7228353381801609	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3071077740880296	No data	No data	1	1	0	0	0	0	0	No data	-0.6803500729318608	0	0	No data	No data	0	0.5	0.5
PTGS2	0.44831694291337937	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7248730413188565	No data	No data	No data	No data	No data	No data	0.2459826074856327	0.0123820786496205	No data	1	0	0	1	1	0	0.3377499999999998	0	-0.8072515107314024	-0.9747706328107875	0	-1	No data	-0.02317999999999998	0.5	0
ZNF652	0.4463355408963888	0.7262089814138621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15958183437305054	No data	No data	No data	0	0	0	0	0	0.5049500000000002	No data	-0.6140862679724943	0	0	No data	No data	0	-1	0
GJA1	0.4461220682898772	0.7223267760082188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.23020301792442902	No data	No data	No data	0	0	1	1	0	0.8691099999999998	No data	-0.35090643884142525	-0.9890164201474261	0	No data	No data	0	-1	0
MYC	0.44598202142262944	0.7241696569343499	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1887380701532149	No data	No data	No data	0	0	1	1	0	0.4933900000000001	No data	-0.9280058345488643	-0.9487089729956111	-1	-1	No data	0	0.5	0
ABCB5	0.4428988093227984	0.7285349106556467	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	No data	0.2668264221712857	-0.21899551341933332	0	-1	No data	0	1	0.5
ZBTB7C	0.44274242275293657	0.7282776666231413	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0.7092100000000002	No data	-0.3556991039799958	No data	0	No data	No data	0	0.5	0
HLA-B	0.4427340608737491	0.7212554365491939	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.14016950835255046	No data	No data	No data	1	0	0	0	0	No data	No data	0.0008335069806209017	-0.6726708956888355	0	-1	No data	-0.6616025000000001	0.5	0
IL7R	0.4425773414424143	0.7118682251625232	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.32275790479889777	No data	No data	No data	1	0	0	0	0	0	No data	0.16263804959366546	0	0	No data	-1	0	0.5	0
